Year,mode,input_panel_orientation,capacity_source,round,received_demand_total,desired_output_total,realized_output_total,unmet_capacity_total,capacity_penalty_total,supplier_demand_total,absolute_supplier_demand_total,residual_share,mean_capacity_stress,median_capacity_stress,share_capacity_binding,share_capacity_missing,converged
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,35,274412.9785772753,274412.9785772753,274412.9785772753,0.0,0.0,256355.9289010645,256355.9289010645,9.085337515281967e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,36,256355.9289010645,256355.9289010645,256355.9289010645,0.0,0.0,239584.64110704573,239584.64110704573,8.490957620002093e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,37,239584.64110704573,239584.64110704573,239584.64110704573,0.0,0.0,223994.54791481147,223994.54791481147,7.93843964566333e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,38,223994.54791481147,223994.54791481147,223994.54791481147,0.0,0.0,209491.58727383616,209491.58727383616,7.424450002595772e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,39,209491.58727383616,209491.58727383616,209491.58727383616,0.0,0.0,195990.80176720858,195990.80176720858,6.945977772306624e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,40,195990.80176720858,195990.80176720858,195990.80176720858,0.0,0.0,183415.19211531675,183415.19211531675,6.500294075277839e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,41,183415.19211531675,183415.19211531675,183415.19211531675,0.0,0.0,171694.76330799673,171694.76330799673,6.084918265579163e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,42,171694.76330799673,171694.76330799673,171694.76330799673,0.0,0.0,160765.72074772758,160765.72074772758,5.697589441921461e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,43,160765.72074772758,160765.72074772758,160765.72074772758,0.0,0.0,150569.7858033096,150569.7858033096,5.336242190656424e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,44,150569.7858033096,150569.7858033096,150569.7858033096,0.0,0.0,141053.60809807232,141053.60809807232,4.998985757079462e-06,1.0,1.0,0.0,0.0,False
