Year,node_count,valid_node_ratio_count,invalid_node_ratio_count,missing_node_ratio_count,zero_M_positive_X_count,median_observed_input_intensity,p05_observed_input_intensity,p95_observed_input_intensity,p99_observed_input_intensity,max_observed_input_intensity,median_effective_input_intensity,share_a_above_1,share_a_above_2,share_a_above_5,node_ratio_used_share,country_category_fallback_share,country_ecosystem_fallback_share,sector_fallback_share,global_fallback_share,missing_feasibility_share
2005,4915,4913,1,1,1,0.5532464820377897,0.2153460963226204,0.941381351221462,1.7465701346611964,676.7966689517203,0.5532534122226892,0.03641912512716175,0.007527975584944049,0.002644964394710071,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2006,4915,4913,1,1,1,0.5409577415296379,0.2117198952542437,0.9250077690088278,1.7254289985584432,930.7539243891808,0.5409891407577666,0.03153611393692777,0.007527975584944049,0.0018311291963377416,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2007,4915,4913,1,1,1,0.5451005943823437,0.21800513528327806,0.9330068249341932,1.7949656873070368,1135.8385190005606,0.5451090769965532,0.03255340793489318,0.008341810783316379,0.0018311291963377416,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2008,4915,4913,1,1,1,0.5526915061275877,0.22208339954845874,0.9473220951701629,1.869220077940783,1237.6264854008007,0.552743237763829,0.03560528992878942,0.008545269582909461,0.0016276703967446592,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2009,4915,4913,1,1,1,0.5451361493429606,0.216913683522162,0.9406539614093367,1.745529723157897,1167.9680281789242,0.5451793724509787,0.03438453713123093,0.007731434384537131,0.0014242115971515768,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2010,4915,4913,1,1,1,0.5524184234297721,0.21999381058483836,0.9562199335634418,1.7413865094532959,1141.2108555540208,0.552471070023402,0.0358087487283825,0.008138351983723296,0.0014242115971515768,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2011,4915,4913,1,1,1,0.5571906046560198,0.22394166625895126,0.9735790573364627,2.268937426306041,1108.1587037351485,0.5573993636643673,0.04028484231943032,0.01261444557477111,0.0022380467955239063,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2012,4915,4913,1,1,1,0.5338354426332665,0.20942768960612007,0.9200589561695544,1.7873843634691082,1069.2800271219135,0.5341113639259927,0.03255340793489318,0.008138351983723296,0.0014242115971515768,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2013,4915,4913,1,1,1,0.5376514455933463,0.2044014820042063,0.9546580340341587,2.7129426439010946,1104.673961530653,0.5376594919537416,0.040081383519837234,0.013428280773143439,0.007121057985757884,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2014,4915,4913,1,1,1,0.5240930517942544,0.1800767293002776,0.9247141899192501,2.301125360791031,1075.501465878124,0.5241205862639858,0.03621566632756867,0.011393692777212614,0.0018311291963377416,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2015,4915,4913,1,1,1,0.5275573496542065,0.17840514206695762,0.9658495690320305,2.4954761037650957,1170.5901265794246,0.5275624908381339,0.041302136317395724,0.012410986775178027,0.002034587995930824,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2016,4915,4913,1,1,1,0.6056934524715338,0.13248660777650306,1.280666087055155,5.521176112246318,13986.349805428003,0.6058825229568239,0.10844354018311292,0.023194303153611394,0.010579857578840285,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
